ids,plain_text,No,sentences,anncomplete_1,entities_1,relations_1,1_Relevant_1,Action1-PentaClass_1,Action1_CAMEO_1,Action2-PentaClass_1,Action2_CAMEO_1,Action3-PentaClass_1,Action3_CAMEO_1,anncomplete_2,entities_2,relations_2,anncomplete_3,entities_3,relations_3,1_Relevant_3,Action1-PentaClass_3,Action1_CAMEO_3,Action2-PentaClass_3,Action2_CAMEO_3,Action3-PentaClass_3,Action3_CAMEO_3,Comments_3,anncomplete_4,entities_4,relations_4,1_Relevant_4,Action1-PentaClass_4,Action1_CAMEO_4,Action2-PentaClass_4,Action2_CAMEO_4,Action3-PentaClass_4,Action3_CAMEO_4,anncomplete_5,entities_5,relations_5,1_Relevant_5,Action1-PentaClass_5,Action1_CAMEO_5,Action2-PentaClass_5,Action2_CAMEO_5,Action3-PentaClass_5,Action3_CAMEO_5,Action4-PentaClass_5,Action4_CAMEO_5
arl.kVZStbKp.6YIwQvxSJvwChwG-cameo_200.csv_12,No. 189 sentences The Black Lives Matter movement isn't named in any of the 120 statewide ballot measures up for a vote on Nov. 3.,No. 189 ,The Black Lives Matter movement isn't named in any of the 120 statewide ballot measures up for a vote on Nov. 3.,True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,,
aO3Kv96H6olKkQAL9qt.ZOaaQ03C-cameo_200.csv_10,"No. 191 sentences Amid Protests, Christopher Columbus Statues Take Flak In Boston And Richmond, Va.",No. 191 ,"Amid Protests, Christopher Columbus Statues Take Flak In Boston And Richmond, Va.",True,[],[],False,,,,,,,False,[],[],True,"[('Action-1', 'Protests', 5), ('Target-2', 'Christopher Columbus Statues', 15), ('Action-2', 'Take Flak', 44), ('Location', 'Boston', 57), ('Location', 'Richmond, Va', 68)]","[[('Action-2', 'Take Flak'), ('Target-2', 'Christopher Columbus Statues')]]",True,4-Material Conflict,4-14 Protest,4-Material Conflict,4-17 Coerce,,,,True,"[('Target-1', 'Christopher Columbus Statues', 15), ('Action-1', 'ake Flak', 45), ('Location', 'Boston And Richmond, Va', 57)]","[[('Target-1', 'Christopher Columbus Statues'), ('Action-1', 'ake Flak')]]",True,3-Verbal Conflict,3-12 Reject,,,,,True,"[('Action-1', 'Protests', 5), ('Target-1', 'Christopher Columbus Statues', 15), ('Target-2', 'Christopher Columbus Statues', 15), ('Action-2', 'Take Flak', 44), ('Location', 'Boston', 57)]","[[('Action-1', 'Protests'), ('Target-1', 'Christopher Columbus Statues')], [('Action-2', 'Take Flak'), ('Target-2', 'Christopher Columbus Statues')]]",True,4-Material Conflict,4-14 Protest,0-Make a Statement,0-1 Make Public Statement,,,,
a0XH0ZF29s3YhtSZx4UxDw_VE3qC-cameo_200.csv_7,"No. 194 sentences The four candidates competing for two open seats on the Board of Supervisors have spent more than $300,000 on their campaigns, but Ventura County election officials are predicting that despite such heavy spending, only about 59% of the county's 351,921 reg",No. 194 ,"The four candidates competing for two open seats on the Board of Supervisors have spent more than $300,000 on their campaigns, but Ventura County election officials are predicting that despite such heavy spending, only about 59% of the county's 351,921 reg",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,,
aYfBk8.5RhOyYy8SP4Uged5V8bXW-cameo_200.csv_6,"No. 195 sentences Prime Minister Abe said his victory in national elections had hardened his resolve to ""firmly deal"" with North Korea after its recent nuclear and missile tests that angered Pacific region neighbors and prompted extra UN sanctions.",No. 195 ,"Prime Minister Abe said his victory in national elections had hardened his resolve to ""firmly deal"" with North Korea after its recent nuclear and missile tests that angered Pacific region neighbors and prompted extra UN sanctions.",True,[],[],False,,,,,,,False,[],[],True,"[('Source-1', 'Prime Minister Abe', 0), ('Action-1', 'said', 19), ('Source-2', 'North Korea', 105), ('Action-2', 'nuclear and missile tests', 134)]","[[('Source-1', 'Prime Minister Abe'), ('Action-1', 'said')], [('Source-2', 'North Korea'), ('Action-2', 'nuclear and missile tests')]]",True,0-Make a Statement,0-1 Make Public Statement,4-Material Conflict,4-15 Exhibit Force Posture,,,,True,"[('Source-1', 'Prime Minister Abe', 0), ('Source-2', 'Prime Minister Abe', 0), ('Action-1', 'said', 19), ('Action-2', 'hardened his resolve to ""firmly deal"" with', 62), ('Target-2', 'North Korea', 105), ('Source-3', 'North Korea', 105), ('Action-3', 'nuclear and missile tests that angered', 134), ('Target-3', 'Pacific region neighbors', 173)]","[[('Source-1', 'Prime Minister Abe'), ('Action-1', 'said')], [('Action-2', 'hardened his resolve to ""firmly deal"" with'), ('Target-2', 'North Korea')], [('Source-3', 'North Korea'), ('Action-3', 'nuclear and missile tests that angered')], [('Action-3', 'nuclear and missile tests that angered'), ('Target-3', 'Pacific region neighbors')], [('Source-1', 'Prime Minister Abe'), ('Action-2', 'hardened his resolve to ""firmly deal"" with')]]",True,0-Make a Statement,0-1 Make Public Statement,3-Verbal Conflict,3-13 Threaten,4-Material Conflict,4-15 Exhibit Force Posture,True,"[('Source-1', 'Prime Minister Abe', 0), ('Action-1', 'said', 19), ('Action-2', 'firmly deal', 87), ('Target-2', 'North Korea', 105), ('Source-3', 'North Korea', 105), ('Target-4', 'North Korea', 105), ('Action-3', 'angered', 165), ('Target-3', 'Pacific region neighbors', 173), ('Source-4', 'UN', 217), ('Action-4', 'sanctions', 220)]","[[('Source-1', 'Prime Minister Abe'), ('Action-1', 'said')], [('Action-2', 'firmly deal'), ('Target-2', 'North Korea')], [('Source-3', 'North Korea'), ('Action-3', 'angered')], [('Action-3', 'angered'), ('Target-3', 'Pacific region neighbors')], [('Source-4', 'UN'), ('Action-4', 'sanctions')], [('Action-4', 'sanctions'), ('Target-4', 'North Korea')], [('Source-1', 'Prime Minister Abe'), ('Action-2', 'firmly deal')]]",True,0-Make a Statement,0-1 Make Public Statement,3-Verbal Conflict,3-13 Threaten,3-Verbal Conflict,3-13 Threaten,3-Verbal Conflict,3-16 Reduce Relations
aPC.6ihpjApLaj9vgXY_yTiobcb8-cameo_200.csv_4,No. 197 sentences Cape Town - A total of 89 children were shot dead on the Cape Flats between February 2010 and December 2015 with firearms stolen by former police colonel Christiaan Prinsloo.,No. 197 ,Cape Town - A total of 89 children were shot dead on the Cape Flats between February 2010 and December 2015 with firearms stolen by former police colonel Christiaan Prinsloo.,True,[],[],False,,,,,,,False,[],[],True,"[('Location', 'Cape Town', 0), ('Target-1', 'children', 26), ('Action-1', 'shot dead', 40), ('Time', 'between February 2010 and December 2015', 68)]","[[('Action-1', 'shot dead'), ('Target-1', 'children')]]",True,4-Material Conflict,4-18 Assualt,,,,,,True,"[('Location', 'Cape Town', 0), ('Target-1', '89 children', 23), ('Action-1', 'shot dead', 40), ('Location', 'Cape Flats', 57), ('Time', 'between February 2010 and December 2015', 68), ('Target-2', 'firearms', 113), ('Action-2', 'stolen', 122), ('Target-2', 'stolen', 122), ('Source-2', 'police colonel Christiaan Prinsloo', 139)]","[[('Action-1', 'shot dead'), ('Target-1', '89 children')], [('Source-2', 'police colonel Christiaan Prinsloo'), ('Action-2', 'stolen')], [('Action-2', 'stolen'), ('Target-2', 'firearms')]]",True,4-Material Conflict,4-19 Fight,4-Material Conflict,4-17 Coerce,,,True,[],[],False,,,,,,,,
ayL2xeTPrahAbUcXaslTitVkCo2G-cameo_200.csv_11,"No. 190 sentences WASHINGTON, Dec. 9 (UPI) -- A new report on Iraq's insurgency says the fighters gain most of their intelligence from media reports, word of mouth and infiltration into the coalition and Iraqi government.",No. 190 ,"WASHINGTON, Dec. 9 (UPI) -- A new report on Iraq's insurgency says the fighters gain most of their intelligence from media reports, word of mouth and infiltration into the coalition and Iraqi government.",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,,True,"[('Location', 'WASHINGTON', 0), ('Time', 'Dec. 9', 12), ('Source-1', ""A new report on Iraq's insurgency"", 28), ('Action-1', 'says', 62), ('Source-2', 'fighters', 71), ('Action-2', 'gain most of their intelligence', 80), ('Target-2', 'of', 90), ('Target-2', 'from media reports, word of mouth and infiltration into the coalition and Iraqi government.', 112)]","[[('Source-1', ""A new report on Iraq's insurgency""), ('Action-1', 'says')], [('Source-2', 'fighters'), ('Action-2', 'gain most of their intelligence')], [('Action-2', 'gain most of their intelligence'), ('Target-2', 'from media reports, word of mouth and infiltration into the coalition and Iraqi government.')]]",True,0-Make a Statement,0-1 Make Public Statement,1-Verbal Cooperation,1-4 Consult,,,True,"[('Source-1', ""new report on Iraq's insurgency"", 30), ('Action-1', 'says', 62)]","[[('Source-1', ""new report on Iraq's insurgency""), ('Action-1', 'says')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,,
aHlq__Nt1vX2jwdZzWHIOUSQk2Ei-cameo_200.csv_9,"No. 192 sentences Manuel Camacho Solis, a former stalwart of Mexico's ruling Institutional Revolutionary Party, or PRI, resigned from the party to work toward creating a centrist coalition.",No. 192 ,"Manuel Camacho Solis, a former stalwart of Mexico's ruling Institutional Revolutionary Party, or PRI, resigned from the party to work toward creating a centrist coalition.",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,,True,"[('Source-1', ""Manuel Camacho Solis, a former stalwart of Mexico's ruling Institutional Revolutionary Party"", 0), ('Action-1', 'resigned', 102)]","[[('Source-1', ""Manuel Camacho Solis, a former stalwart of Mexico's ruling Institutional Revolutionary Party""), ('Action-1', 'resigned')]]",True,3-Verbal Conflict,3-11 Disapprove,,,,,True,[],[],False,,,,,,,,
aBMHS3.m1cMPQWZlug78hStjxcAK-cameo_200.csv_5,No. 196 sentences Police and firefighters on Friday began investigating the fire that destroyed Okinawa's Shuri Castle the previous day.,No. 196 ,Police and firefighters on Friday began investigating the fire that destroyed Okinawa's Shuri Castle the previous day.,True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,,
a1aZbpX3dnTH5SE_o65OIOCWDZEm-cameo_200.csv_8,No. 193 sentences The upcoming congress will see five of the seven Politburo Standing Committee members retire.,No. 193 ,The upcoming congress will see five of the seven Politburo Standing Committee members retire.,True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,,
anr_d5679Quinticv0PpODNfkd.8-cameo_200.csv_3,"No. 198 sentences In Brazil, it seems, no one is brooding about the effects of the global economic crisis.",No. 198 ,"In Brazil, it seems, no one is brooding about the effects of the global economic crisis.",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,,
aYPpWmS3VGUlVGqUmtqkqaMDz7Va-cameo_200.csv_1,"No. 200 sentences After decades of moral arguments reaching biblical proportions, after long, twisted journeys to the nation's highest court and back, the death penalty may be abandoned by several states for a reason having nothing to do with right or wrong:",No. 200 ,"After decades of moral arguments reaching biblical proportions, after long, twisted journeys to the nation's highest court and back, the death penalty may be abandoned by several states for a reason having nothing to do with right or wrong:",True,[],[],True,,,,,,,False,[],[],True,[],[],False,,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,,
aYY0j325VkqvsuXqer72og4jIcoi-cameo_200.csv_29,"No. 172 sentences Russia's Defense Ministry is developing a helicopter type attack drone capable of participating in combat operations alongside crewed helicopter gunships, as follows from a presentation made by the Russian Armed",No. 172 ,"Russia's Defense Ministry is developing a helicopter type attack drone capable of participating in combat operations alongside crewed helicopter gunships, as follows from a presentation made by the Russian Armed",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,,
a8js4E0s034FHNcltRaxUFtiJcc0-cameo_200.csv_2,"No. 199 sentences COLUMBIA, Mo. (AP) -- With thousands of students returning to college this week, St. Louis is tightening restrictions for many places where they might socialize in an effort to slow the spread of the coronavirus.",No. 199 ,"COLUMBIA, Mo. (AP) -- With thousands of students returning to college this week, St. Louis is tightening restrictions for many places where they might socialize in an effort to slow the spread of the coronavirus.",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,,True,[],[],False,,,,,,,True,"[('Target-1', 'students', 40), ('Source-1', 'St. Louis', 81), ('Action-1', 'is tightening restrictions', 91)]","[[('Source-1', 'St. Louis'), ('Action-1', 'is tightening restrictions')], [('Action-1', 'is tightening restrictions'), ('Target-1', 'students')]]",True,4-Material Conflict,4-17 Coerce,,,,,,
aRqDJhygcWptdsCzftrij8Clusim-cameo_200.csv_36,"No. 165 sentences Police said Friday five incidents involving so-called scary clowns had occurred in two north German towns, including one assailant who hit a man with a baseball bat, amid fears that Halloween could spark a rash of similar attacks.",No. 165 ,"Police said Friday five incidents involving so-called scary clowns had occurred in two north German towns, including one assailant who hit a man with a baseball bat, amid fears that Halloween could spark a rash of similar attacks.",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,,
adwNPJTjMjLfS6NtueSgePY9JGua-cameo_200.csv_33,"No. 168 sentences NEW HAVEN, Conn. (AP) -- A Navy mechanic who last lived in Groton, Connecticut, pleaded guilty Monday to child pornography production offenses stemming from his sexual abuse of seven young girls in Connecticut, New Hampshire and California over several year",No. 168 ,"NEW HAVEN, Conn. (AP) -- A Navy mechanic who last lived in Groton, Connecticut, pleaded guilty Monday to child pornography production offenses stemming from his sexual abuse of seven young girls in Connecticut, New Hampshire and California over several year",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,,
aEW9yQQbuRyf.Cqo3mGl4XicYqjG-cameo_200.csv_30,"No. 171 sentences  A municipal fire department in Virginia is investigating a complaint by an African American mother that a white firefighter refused to provide ice for her 11-year-old son who was having a nosebleed, an alleged action that the mother claims was ""a raci",No. 171 ," A municipal fire department in Virginia is investigating a complaint by an African American mother that a white firefighter refused to provide ice for her 11-year-old son who was having a nosebleed, an alleged action that the mother claims was ""a raci",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,,True,[],[],False,,,,,,,True,"[('Source-1', 'municipal fire department', 3), ('Location', 'Virginia', 32), ('Action-1', 'investigating', 44), ('Action-3', 'complaint', 60), ('Source-3', 'African American mother', 76), ('Source-2', 'white firefighter', 107), ('Target-3', 'white firefighter', 107), ('Target-1', 'white firefighter', 107), ('Action-2', 'refused', 125), ('Target-2', '11-year-old son', 156)]","[[('Source-1', 'municipal fire department'), ('Action-1', 'investigating')], [('Action-1', 'investigating'), ('Target-1', 'white firefighter')], [('Source-2', 'white firefighter'), ('Action-2', 'refused')], [('Action-2', 'refused'), ('Target-2', '11-year-old son')], [('Source-3', 'African American mother'), ('Action-3', 'complaint')], [('Action-3', 'complaint'), ('Target-3', 'white firefighter')]]",True,3-Verbal Conflict,3-9 Investigate,3-Verbal Conflict,3-12 Reject,3-Verbal Conflict,3-11 Disapprove,,
