No.,sentences,url,date,source
62,"The opening of a new synagogue in Mainz at the very site where Nazis destroyed the previous one 70 years ago, is just one sign of Germany's blossoming Jewish community.",https://www.dw.com/en/mainz-synagogue-highlights-revival-of-jewish-life-in-germany/a-5974508,20100904,dw
61,"FATEHGARH SAHIB: A youth hailing from Khant village near Khamano town of Fategarh Sahib district, was found dead at a dairy farm in Verona district of Italy, his family said on Tuesday.",http://timesofindia.indiatimes.com/city/chandigarh/Mystery-surrounds-death-of-Punjabi-youth-in-Italy-family-demands-probe/articleshow/34748249.cms,20140506,indiatimes
60,Tough new lockdown restrictions on social gatherings across England are to be announced on Wednesday as British Prime Minister Boris Johnson tries to control a resurgence of coronavirus infections.,https://www.aljazeera.com/news/2020/9/9/uk-covid-resurgence-social-gatherings-to-be-strictly-limited,2020/9/9 2:41,alijazeera
59,"For The First Time In 6 Weeks, Millions Of Children In Spain Can Play Outside Again",https://www.npr.org/sections/coronavirus-live-updates/2020/04/26/845166414/for-the-first-time-in-6-weeks-millions-of-children-in-spain-can-play-outside-aga,,npr
58,"ISLAMABAD: In India, Congress general secretary Priyanka Gandhi Vadra says Jammu and Kashmir has been under dictatorship for the past one year.",https://www.thenews.com.pk/print/697646-kashmir-under-dictatorship-for-past-year-priyanka-gandhi,20200808,thenewspk
57,"MOSCOW, Sept. 24 -- President Vladimir V. Putin tonight offered the United States broad support for antiterrorist operations in Afghanistan, including access to its airspace for humanitarian missions, direct participation in some search-and-rescue operation",https://www.nytimes.com/2001/09/24/international/putin-offers-backing-to-us-for-antiterror-operations.html?searchResultPosition=16,"September 24, 2001",nytimes
56,Black Psychologist Gives Take On Meadows' Defense Against Charges Trump Is 'Racist',https://www.npr.org/2019/03/03/699892053/black-psychologist-gives-take-on-meadows-defense-against-charges-trump-is-racist,,npr
55,"City Councilman Miguel A. Pulido lashed out at a political opponent Tuesday, accusing her campaign of hiring a detective to investigate whether he lives in the city and qualifies as a resident.",https://www.latimes.com/archives/la-xpm-1990-09-26-me-1201-story.html,1990/9/1 0:00,latimes
54,Greeks went to the polls on Sunday in the first general election since the start of the country's debt crisis.,https://www.rfi.fr/en/europe/20120507-greek-elections-centre-right-new-democracy-gets-first-place,2012/7/5 0:00,rfi
53,"U.S. President Donald Trump delivers remarks to U.S. troops in an unannounced visit to Bagram Air Base, Afghanistan, November 28, 2019.",https://www.cnbc.com/2019/11/28/trump-makes-unannounced-visit-to-us-troops-in-afghanistan-on-thanksgiving.html,20191128,cnbc
52,"GUATEMALA CITY -- Gunmen released two priests kidnapped earlier this week in a bloody raid that left a parish clerk dead, said Catholic Church officials, who declined to reveal details of the case.",https://www.upi.com/Archives/1982/01/09/Kidnappers-release-two-priests-in-Guatemala/1576379400400/,1982/1/9 0:00,upi
51,Guwahati: Former Assam chief minister and AGP founder president Prafulla Kumar Mahanta has said BJP has not informed the AGP regarding the chief ministerial candidate of the four-party alliance.,http://timesofindia.indiatimes.com/city/guwahati/AGP-doesnt-know-about-CM-candidate/articleshow/52260076.cms,20160514,indiatimes
50,"Hoshyar Zebari, former Iraqi foreign minister, speaks during a press conference in Irbil, the capital of the semi-autonomous Kurdish region of northern Iraq on Aug. 8.",http://www.washingtonpost.com/world/middle_east/lally-weymouth-interviews-former-iraqi-foreign-minister-hoshyar-zebari/2014/08/12/98f4a838-2257-11e4-8593-da634b334390_story.html?wprss=rss_middle-east,20140813,washington
49,Philippine province says to keep open-pit mining ban Mining & Metals - Specialty Erik dela Cruz,"http://www.reuters.com/article/2010/12/03/philippines-tampakan-idUSSGE6B201C20101203, https://www.reuters.com/article/instant-article/idUSSGE6B201C20101203",20101203,reuter
48,"NOWSHERA: District and Sessions Judge of Nowshera, Shafiq Ahmad Tanoli, Friday suspended a clerk and launched a probe after the District Bar Association boycotted courts to protest the lock-down of the courts by the clerical staff the previous day.",https://www.thenews.com.pk/print/267991-court-clerk-suspended,20180113,thenewspk
47,"Four men have been charged with murder in connection with the slaying of a man at a marijuana grow-house near Hayward in February, authorities said Friday.",https://www.sfgate.com/crime/article/4-charged-with-murder-in-apparent-drug-slaying-3176856.php,2010/8/28 11:00,sfgate
46,"TAIPEI: Taiwan prosecutors said a man from China, reportedly a recent graduate from one of the island's top universities, was detained on Friday on suspicion of espionage, as officials warn of growing China spy threats.",https://www.thenews.com.pk/print/191594-Taiwan-detains-China-student-for-alleged-espionage,20170311,thenewspk
45,"Venezuela's ruling Socialist Party swept the country's Dec. 10 municipal elections, winning 300 of 339 races for mayor, including in 39 of the country's 40 biggest cities.",https://theconversation.com/venezuelan-regime-sweeps-mayors-races-tightening-maduros-grip-on-power-89003,,conversation
44,A stowaway who sneaked aboard a Japan-bound jet from Kennedy Airport apparently froze to death inside his hiding spot in the plane's landing-gear compartment.,https://nypost.com/2010/02/09/jfk-stowaway-freezes-in-air/,2010/2/9 0:00,nypost
43,PHILADELPHIA - It was supposed to be a day dedicated to working better together.,https://www.usnews.com/opinion/articles/2016-07-25/bernie-sanders-michelle-obama-and-elizabeth-warren-save-clintons-dnc,2016/7/25 0:00,usnews
42,Pro-democracy activist Joshua Wong said on Tuesday that he had been disqualified from running in Hong Kong's district council elections.,https://www.dw.com/en/hong-kongs-pro-democracy-activist-joshua-wong-barred-from-election/a-51029701,20191029,dw
41,"Mahmud Hams, a photographer for Agence France-Press, was in the building that housed the news service's Gaza City office when it was struck.",https://www.dw.com/en/israeli-strikes-hit-banks-media-outlets/a-16394839,1970/8/21 21:12,dw
40,"The family of Woolwich murder suspect Michael Adebolajo have broken their silence, issuing a statement in which they condemned acts of terror and religious violence and sent their ""heartfelt condolences"" to the family of Lee Rigby.",https://theconversation.com/bleak-future-lies-in-wait-for-the-families-of-woolwich-suspects-14650,,conversation
39,"Israel has admitted pathologists harvested organs from dead Palestinians, and others, without the consent of their families - a practice it said ended in the 1990s - it emerged at the weekend.",https://www.theguardian.com/world/2009/dec/21/israeli-pathologists-harvested-organs,2009/dec/21,guadian
38,"Story highlights Appeals court: Judge's impartiality might be in question because of his past jobs Judge was a U.S. prosecutor in Boston when the defendant allegedly was involved in crime Defendant James ""Whitey"" Bulger faces 19 murder charges",https://www.cnn.com/2013/03/14/justice/massachusetts-whitey-bulger/index.html,2013/3/15 0:00,cnn
37,A prominent Mexican suspected of being a major drug trafficker was flown to Los Angeles from Texas today and was held as a material witness in the 1985 kidnap-murder of U.S. narcotics agent Enrique Camarena Salazar.,https://www.latimes.com/archives/la-xpm-1989-08-14-mn-517-story.html,1989/8/1 0:00,latimes
36,"Afghan President Mohammad Ashraf Ghani (C) speaks during the Eid al-Fitr prayer at the presidential palace in Kabul, capital of Afghanistan, June 4, 2019.",http://www.xinhuanet.com/english/2019-06/04/c_138116090.htm,2019/6/4 0:00,xinhua
35," As with most prominent statesmen, the figure of former Israeli President Shimon Peres has not been exempt from criticism and controversy, especially by those who saw him as one of the main stalwarts of Israel's contentious securit",https://www.efe.com//efe/english/corporate/arab-responses-to-peres-death-reveal-controversy-surrounding-his-figure/50000271-3054258,2016/9/29 0:00,efe
34,"Thick black smoke and towering orange flames shot up Friday after two trailers of highly unstable compounds blew up at a flooded Houston-area chemical plant, the second fire there in two days.",https://web.archive.org/web/20170903012845/http://abcnews.go.com/US/wireStory/flames-smoke-houston-area-chemical-plant-2nd-day-49580594,2017/9/3 0:00,abc
33,"Angela Merkel kicks off her re-election drive on Tuesday at a congress of her conservative Christian Democrats (CDU), where the chancellor will be feted like a star for defending German interests in the euro zone crisis.",https://www.cnbc.com/2012/12/04/merkel-may-go-green-despite-star-status.html,20121204,cnbc
32,"HONG KONG, March 21 (Xinhua) -- Carrie Lam, the chief executive of the Hong Kong Special Administrative Region (HKSAR), said on Saturday that she was confident that Hong Kong will thrive and soar higher with the full support of the central authorities.",http://www.xinhuanet.com/english/2021-03/21/c_139825407.htm,2021/3/21 0:00,xinhua
31,More Than A Dozen GOP State Lawmakers Attended Rally That Gave Way To Riots,https://www.npr.org/2021/01/09/955128569/more-than-a-dozen-gop-state-lawmakers-attended-rally-that-gave-way-to-riots,,npr
30,"TOWER, Minn. (AP) -- Two former officials in the northern Minnesota city of Tower are charged with criminal misconduct for allegedly trying to oust a newspaper publisher from a city agency.",https://apnews.com/8b2e259f083e4af4a10ef7be1963be77,20190731,apnews
29,"FILE - In this Sept. 9, 2020, file photo U.S. Attorney Thomas Kirsch for the Northern District of Indiana listens during a news conference at the Dirksen Federal Building in Chicago.",https://apnews.com/article/donald-trump-chicago-amy-coney-barrett-judiciary-kyrsten-sinema-06dafc7a8731b8c0196de6fa6cdcc992,20201216,apnews
28,"The oil portrait ""Girl from the Sabine Mountains"" shows a peasant woman reclining, closing her eyes and stretching her billowing white sleeves behind her dark hair.",https://www.sfgate.com/news/article/Painting-sold-under-Nazi-duress-restored-3228535.php,2008/2/3 12:00,sfgate
27,"President Trump offered on day 29 of a partial government shutdown what he described as a proposal to end the impasse, but it was one that House Speaker Nancy Pelosi had already rejected before his announcement.",https://www.pbs.org/newshour/show/trumps-proposal-to-end-shutdown-still-includes-5-7-billion-wall,,pbs
26,"'People with dead-like faces are sitting along the former streets on bundles,' he said.",https://www.upi.com/Archives/1988/12/09/People-with-dead-like-faces-are-sitting-along-the-former/6433597646800/,1988/12/9 0:00,upi
25,"Dedication ceremonies for the Santa Clarita Valley Veterans Memorial--a 25-foot-long, 12-foot-high wall inscribed with veterans' names and patterned after the Vietnam War Memorial in Washington--will be held at 2 p.m.",https://www.latimes.com/archives/la-xpm-1992-11-04-me-1309-story.html,1992/11/1 0:00,latimes
24,Outgoing Public Advocate Letitia James took a parting shot at the de Blasio administration on Wednesday by dubbing the city's Housing Authority the worst landlord of the year.,https://nypost.com/2018/12/19/letitia-james-calls-nycha-the-worst-landlord-of-the-year/,2018/12/19 0:00,nypost
23,"In a long-awaited speech on his new Afghan strategy, US President Barack Obama said he would send an additional 30,000 troops to Afghanistan in the coming months.",https://www.france24.com/en/20091202-obama-commits-30000-more-troops-afghanistan-outlines-withdrawal-plan,2009/12/2 0:00,france24
22,"RADOVICH, Raymund - Passed away peacefully on September 24, 2003 at the age of 82, after a short bout of pneumonia.",https://www.sfgate.com/news/article/RADOVICH-Raymund-2572660.php,2003/9/26 11:00,sfgate
21,"May 1, 2013 -- Talk to a teenager of color living in Harlem or the Bronx and chances are they will have a story to tell about life under ""stop and frisk.""",http://abcnews.go.com/US/nypds-controversial-stop-frisk-policy-racial-profiling-proactive/story?id=19084229,2013/5/1 0:00,abc
20,"""As for requests to share the burden of the reconstruction expenses, I am on the skeptical side, because we have enough sites in our own country that need government assistance,"" Kosachev pointed out.",https://tass.com/society/1087652,20191108,tass
19,"SINGAPORE: Aluminaid Team Singapore, which gave up its mission to scale Mount Everest following the Nepal earthquake, landed safely at Changi Airport on Monday night (May 4).",https://web.archive.org/web/20150507002416/http://www.channelnewsasia.com:80/news/singapore/singapore-team-that/1824886.html,20150504,cna
18,"Over the past 18 months, President Dmitry Medvedev has signed two laws meant to rein in Russia's notorious pretrial detention system, an institution often used to extract bribes and enforce widespread corruption.",https://www.washingtonpost.com/world/europe/laws-to-rein-in-russias-pre-trial-detention-system-are-ignored/2011/11/04/gIQAeNvmnN_story.html,2011/11/25 0:00,washington
17,"BERLIN (Reuters) - Former finance minister Wolfgang Schaeuble was elected speaker of Germany's lower house of parliament on Tuesday, tasked with keeping order in a body where decades of conciliatory conventions are under threat from the arrival of the far",http://www.reuters.com/article/us-germany-politics/germanys-schaeuble-elected-bundestag-speaker-to-tackle-far-right-idUSKBN1CS2VV,20171024,reuter
16,"MINGORA, Pakistan (Reuters) - A suicide bomber killed five people and wounded 40 in an attack on a security forces' convoy in Pakistan's Swat valley on Thursday, officials and witnesses said.","http://www.reuters.com/article/newsMaps/idUSTRE6680VD20100715, http://www.reuters.com/article/newsMaps/idUSTRE6680VD20100715",20100715,reuter
15,The French Defence Minister says two French journalists who were abducted in Syria in June are alive.,https://www.rfi.fr/en/france/20130714-two-french-journalists-abducted-syria-are-alive-defence-minister,2013/7/14 0:00,rfi
14,CUTTACK: The National Human Rights Commission (NHRC) has directed the state government to order a Crime Branch (CB) probe into murder of undertrial prisoner (UTP) Kalia Swain.,http://timesofindia.indiatimes.com/city/bhubaneswar/NHRC-for-probe-into-undertrial-prisoners-murder/articleshow/31769125.cms,20140310,indiatimes
13,"BLUE SPRINGS, Mo. (AP) -- A suburban Kansas City man has died of his injuries in a shooting at a Blue Springs home that also killed a woman, police said.",https://www.sfgate.com/news/article/Police-say-man-died-of-injuries-in-Missouri-16027472.php,20210315,sfgate
12,"An Oakland woman was fatally stabbed in front of her children by her estranged boyfriend after Oakland police failed to arrest him when he twice violated a restraining order, a $10 million wrongful-death lawsuit charges.",https://www.sfgate.com/bayarea/article/10-million-lawsuit-in-slaying-Oakland-cops-2777566.php,2002/10/29 12:00,sfgate
11,"An anonymous tip and five weeks of an undercover Anaheim police investigation resulted in the seizure in Mission Viejo of 121 pounds of cocaine, $17,000 in cash and the arrests of five people in connection with an alleged drug trafficking ring, authorities",https://www.latimes.com/archives/la-xpm-1988-05-19-me-4448-story.html,1988/5/1 0:00,latimes
10,A group of San Francisco first-graders took an unusual field trip to City Hall on Friday to toss rose petals on their just-married lesbian teacher - putting the public school children at the center of a fierce election battle over the fate of same-sex marr,https://www.sfgate.com/news/article/Class-surprises-lesbian-teacher-on-wedding-day-3191209.php,2008/10/11 11:00,sfgate
9,"BAGHDAD, April 9 (Xinhua) -- At least two security forces members were killed and seven others injured Monday in a clash with four suicide bombers from the extremist Islamic State (IS) group in the western Iraqi province of Anbar, a local security source s",http://www.xinhuanet.com/english/2018-04/09/c_137098008.htm,2018/4/9 0:00,xinhua
8,"U.S. public health officials, psychiatrists, grieving parents, outraged former patients and others are addressing the most bitterly divisive question in psychiatry: Do the drugs that doctors prescribe to relieve depression make some people more likely to c",https://www.nytimes.com/2006/12/13/world/americas/13iht-suicide.3887447.html?searchResultPosition=10,2006/12/13 0:00,nytimes
7,"Despite the numerous obstacles and the fallout from occasional agency missteps, there are ways to move forward and make progress, according to a recent report that surveyed 62 federal chief human capital officers (CHCOs) and human resources (HR) leaders re",http://www.washingtonpost.com/blogs/on-leadership/wp/2014/06/02/the-litany-of-woes-for-government-hr/,20140602,washington
6,"Pedestrians wearing protective masks walk along the street as a screen displaying a live broadcast of Chinese President Xi Jinping at the National People's Congress in Beijing, China, on Friday, May 22, 2020.",https://www.cnbc.com/2020/05/24/china-tells-us-to-stop-wasting-time-in-coronavirus-battle.html,20200524,cnbc
5,"The Obama administration has begun discussions with the Senate about whether a bill aimed at forcing China to let its currency rise is ""the right approach"" to the long-running currency issue, a top U.S. official said Tuesday.",https://www.cnbc.com/2011/10/04/us-administration-talking-to-senate-about-yuan-bill.html,20111004,cnbc
4,"EAST CLEVELAND, Ohio (AP) -- A man died after he was shot by police following a vehicle pursuit that ended when the car he was driving caught fire, authorities said.",https://www.usnews.com/news/best-states/ohio/articles/2021-01-06/cops-fatally-shoot-driver-after-pursuit-ends-in-fiery-crash,2021/1/6 0:00,usnews
3," An all-girls robotics team from Afghanistan selected for an international robotics competition in Washington, D.C. this month will have to watch their robot compete from afar after its members were denied visas by the U.S. State Department.",https://abcnews.go.com/International/afghan-girls-robotics-team-denied-us-visas-attend/story?id=48449690,2017-07-05 17:10:00+00:00,abc
2,WASHINGTON--A tremendous number of personnel records--including some quite personal records--have likely been stolen by computer hackers.,http://www.wsj.com/articles/when-does-a-hack-become-an-act-of-war-1434189601,2015/6/13 0:00,wsj
1,U.S. Associate Justice Ruth Bader Ginsburg was hospitalized Thursday evening after she became ill following treatment for an iron deficiency.,https://www.wsj.com/articles/SB125383808967739585,2009/9/24 0:00,wsj

