story,sentences,rater1,rater3,rater4,rater5
11,"An anonymous tip and five weeks of an undercover Anaheim police investigation resulted in the seizure in Mission Viejo of 121 pounds of cocaine, $17,000 in cash and the arrests of five people in connection with an alleged drug trafficking ring, authorities",TRUE,FALSE,TRUE,FALSE
50,"Hoshyar Zebari, former Iraqi foreign minister, speaks during a press conference in Irbil, the capital of the semi-autonomous Kurdish region of northern Iraq on Aug. 8.",TRUE,TRUE,TRUE,TRUE
80,Japan and France signed a pact on defense equipment transfers Friday at a meeting of their foreign and defense chiefs in Tokyo to strengthen bilateral ties in security.,TRUE,TRUE,TRUE,TRUE
38,"Story highlights Appeals court: Judge's impartiality might be in question because of his past jobs Judge was a U.S. prosecutor in Boston when the defendant allegedly was involved in crime Defendant James ""Whitey"" Bulger faces 19 murder charges",TRUE,TRUE,FALSE,FALSE
86,"China's former top drug regulator was sentenced to death Tuesday for taking bribes to approve untested medicines, as the country's main quality control agency announced its first recall system targeting unsafe food products.",TRUE,TRUE,TRUE,TRUE
46,"TAIPEI: Taiwan prosecutors said a man from China, reportedly a recent graduate from one of the island's top universities, was detained on Friday on suspicion of espionage, as officials warn of growing China spy threats.",TRUE,TRUE,TRUE,TRUE
90,"In the years following the bitter Civil War, a former Union general took a holiday originated by former Confederates and helped spread it across the entire country.",FALSE,FALSE,FALSE,FALSE
88,"In the United Kingdom, novel coronavirus has killed six people as of Tuesday, with another 370 infected and quarantined.",FALSE,FALSE,FALSE,FALSE
44,A stowaway who sneaked aboard a Japan-bound jet from Kennedy Airport apparently froze to death inside his hiding spot in the plane's landing-gear compartment.,FALSE,FALSE,FALSE,FALSE
20,"""As for requests to share the burden of the reconstruction expenses, I am on the skeptical side, because we have enough sites in our own country that need government assistance,"" Kosachev pointed out.",TRUE,TRUE,FALSE,FALSE
78,Tokyo prosecutors on Monday indicted two Americans accused of helping former Nissan boss Carlos Ghosn jump bail and make his audacious escape from Japan in 2019.,TRUE,TRUE,TRUE,TRUE
14,CUTTACK: The National Human Rights Commission (NHRC) has directed the state government to order a Crime Branch (CB) probe into murder of undertrial prisoner (UTP) Kalia Swain.,TRUE,TRUE,TRUE,TRUE
13,"BLUE SPRINGS, Mo. (AP) -- A suburban Kansas City man has died of his injuries in a shooting at a Blue Springs home that also killed a woman, police said.",FALSE,FALSE,FALSE,FALSE
10,A group of San Francisco first-graders took an unusual field trip to City Hall on Friday to toss rose petals on their just-married lesbian teacher - putting the public school children at the center of a fierce election battle over the fate of same-sex marr,FALSE,FALSE,TRUE,FALSE
40,"The family of Woolwich murder suspect Michael Adebolajo have broken their silence, issuing a statement in which they condemned acts of terror and religious violence and sent their ""heartfelt condolences"" to the family of Lee Rigby.",FALSE,TRUE,FALSE,FALSE
24,Outgoing Public Advocate Letitia James took a parting shot at the de Blasio administration on Wednesday by dubbing the city's Housing Authority the worst landlord of the year.,TRUE,TRUE,TRUE,TRUE
21,"May 1, 2013 -- Talk to a teenager of color living in Harlem or the Bronx and chances are they will have a story to tell about life under ""stop and frisk.""",FALSE,FALSE,FALSE,FALSE
26,"'People with dead-like faces are sitting along the former streets on bundles,' he said.",FALSE,FALSE,FALSE,FALSE
3,"An all-girls robotics team from Afghanistan selected for an international robotics competition in Washington, D.C. this month will have to watch their robot compete from afar after its members were denied visas by the U.S. State Department.",TRUE,TRUE,TRUE,TRUE
23,"In a long-awaited speech on his new Afghan strategy, US President Barack Obama said he would send an additional 30,000 troops to Afghanistan in the coming months.",TRUE,TRUE,TRUE,TRUE
15,The French Defence Minister says two French journalists who were abducted in Syria in June are alive.,TRUE,TRUE,TRUE,TRUE
17,"BERLIN (Reuters) - Former finance minister Wolfgang Schaeuble was elected speaker of Germany's lower house of parliament on Tuesday, tasked with keeping order in a body where decades of conciliatory conventions are under threat from the arrival of the far",FALSE,FALSE,FALSE,TRUE
79,"Raipur, India - Rights activists in the Indian state of Chhattisgarh have called for action against security forces after a judicial inquiry established that the killing of Indigenous people in 2012 was staged and that victims were unarmed civilians.",TRUE,TRUE,TRUE,TRUE
87,WASHINGTON -- Lame-duck lawmakers return to Washington on Monday facing a stacked agenda and not much time to get it all done before the new Congress convenes in January and a Republican takeover is complete.,FALSE,FALSE,FALSE,FALSE
51,Guwahati: Former Assam chief minister and AGP founder president Prafulla Kumar Mahanta has said BJP has not informed the AGP regarding the chief ministerial candidate of the four-party alliance.,TRUE,TRUE,TRUE,TRUE
91,"NEW YORK, Feb. 27 (UPI) -- The deaths of three New York children allegedly drowned by their mother has Nassau County officials admitting child welfare workers made a series of mistakes.",FALSE,FALSE,FALSE,FALSE
84,"The long-range missile was thought to be a Taepodong 2 and failed about 35 seconds after launch, US state department officials said on Wednesday.",TRUE,TRUE,TRUE,TRUE
70,Paris police were astonished to find a car stopped in the middle of Paris's busy ringroad and its driver slumped asleep over the steering wheel on Tuesday night.,FALSE,FALSE,FALSE,FALSE
22,"RADOVICH, Raymund - Passed away peacefully on September 24, 2003 at the age of 82, after a short bout of pneumonia.",FALSE,FALSE,FALSE,FALSE
7,"Despite the numerous obstacles and the fallout from occasional agency missteps, there are ways to move forward and make progress, according to a recent report that surveyed 62 federal chief human capital officers (CHCOs) and human resources (HR) leaders re",FALSE,FALSE,FALSE,FALSE
19,"SINGAPORE: Aluminaid Team Singapore, which gave up its mission to scale Mount Everest following the Nepal earthquake, landed safely at Changi Airport on Monday night (May 4).",FALSE,FALSE,FALSE,FALSE
36,"Afghan President Mohammad Ashraf Ghani (C) speaks during the Eid al-Fitr prayer at the presidential palace in Kabul, capital of Afghanistan, June 4, 2019.",TRUE,TRUE,TRUE,TRUE
67,Four men were indicted by a federal grand jury in Brooklyn Friday for an alleged plot to blow up New York's John F. Kennedy International Airport.,TRUE,TRUE,TRUE,TRUE
41,"Mahmud Hams, a photographer for Agence France-Press, was in the building that housed the news service's Gaza City office when it was struck.",TRUE,TRUE,TRUE,TRUE
56,Black Psychologist Gives Take On Meadows' Defense Against Charges Trump Is 'Racist',TRUE,TRUE,TRUE,FALSE
73,A TROUBLED Catholic priest who was accused of molesting a boy in The Bronx several years ago was arrested by state police on charges of aggravated harassment and stalking of an upstate New York man and his family.,TRUE,FALSE,TRUE,TRUE
77,A bill that would see a Virginia post office named in honor of a University of Virginia alumnus killed in action in Iraq is heading to President Donald Trump's desk.,FALSE,TRUE,FALSE,FALSE
59,"For The First Time In 6 Weeks, Millions Of Children In Spain Can Play Outside Again",FALSE,FALSE,FALSE,FALSE
48,"NOWSHERA: District and Sessions Judge of Nowshera, Shafiq Ahmad Tanoli, Friday suspended a clerk and launched a probe after the District Bar Association boycotted courts to protest the lock-down of the courts by the clerical staff the previous day.",TRUE,TRUE,TRUE,TRUE
2,WASHINGTON--A tremendous number of personnel records--including some quite personal records--have likely been stolen by computer hackers.,FALSE,FALSE,FALSE,FALSE
25,"Dedication ceremonies for the Santa Clarita Valley Veterans Memorial--a 25-foot-long, 12-foot-high wall inscribed with veterans' names and patterned after the Vietnam War Memorial in Washington--will be held at 2 p.m.",TRUE,TRUE,TRUE,FALSE
71,"NEW YORK -- St. Joe Minerals Corp. said Monday it has filed suit in federal court in Kansas City to block the $2 billion takeover bid by Joseph E. Seagram & Sons, Inc., the U.S. subsidiary of Canada's Seagram empire.",FALSE,FALSE,FALSE,FALSE
95,"Former Trump campaign adviser George Papadopoulos arrives at a closed-door hearing before the House Judiciary and Oversight Committee October 25, 2018 at the Rayburn House Office Building on Capitol Hill in Washington, DC.",FALSE,FALSE,FALSE,TRUE
52,"GUATEMALA CITY -- Gunmen released two priests kidnapped earlier this week in a bloody raid that left a parish clerk dead, said Catholic Church officials, who declined to reveal details of the case.",TRUE,TRUE,TRUE,TRUE
93,"KOLKO, Philip - Born August 1935, passed away June 27, 2004, after a long and courageous battle against cancer.",FALSE,FALSE,FALSE,FALSE
16,"MINGORA, Pakistan (Reuters) - A suicide bomber killed five people and wounded 40 in an attack on a security forces' convoy in Pakistan's Swat valley on Thursday, officials and witnesses said.",TRUE,TRUE,TRUE,TRUE
66,"""We have no confirmation that missiles reached our exclusive economic zone. At this moment, we can say that there is no direct threat to our country,"" Kyodo quoted a source in the government as saying.",TRUE,TRUE,TRUE,TRUE
53,"U.S. President Donald Trump delivers remarks to U.S. troops in an unannounced visit to Bagram Air Base, Afghanistan, November 28, 2019.",TRUE,TRUE,TRUE,TRUE
9,"BAGHDAD, April 9 (Xinhua) -- At least two security forces members were killed and seven others injured Monday in a clash with four suicide bombers from the extremist Islamic State (IS) group in the western Iraqi province of Anbar, a local security source s",TRUE,TRUE,TRUE,TRUE
60,Tough new lockdown restrictions on social gatherings across England are to be announced on Wednesday as British Prime Minister Boris Johnson tries to control a resurgence of coronavirus infections.,FALSE,FALSE,FALSE,FALSE
30,"TOWER, Minn. (AP) -- Two former officials in the northern Minnesota city of Tower are charged with criminal misconduct for allegedly trying to oust a newspaper publisher from a city agency.",TRUE,TRUE,TRUE,TRUE
76,"He added that so far, he had not seen an official note sent to the Russian Foreign Ministry by the US in this regard.",FALSE,TRUE,TRUE,FALSE
57,"MOSCOW, Sept. 24 -- President Vladimir V. Putin tonight offered the United States broad support for antiterrorist operations in Afghanistan, including access to its airspace for humanitarian missions, direct participation in some search-and-rescue operation",TRUE,TRUE,TRUE,TRUE
27,"President Trump offered on day 29 of a partial government shutdown what he described as a proposal to end the impasse, but it was one that House Speaker Nancy Pelosi had already rejected before his announcement.",TRUE,TRUE,TRUE,TRUE
81,"LAHORE: Imran Khan did not talk about rigging for a year but then a section of establishment had conspired and launched him and Dr Tahirul Qadri, said Najam Sethi on Friday.",TRUE,TRUE,TRUE,TRUE
94,"""They [messages with the proposal] were dispatched on Friday, by the end of the day,"" Peskov commented.",TRUE,FALSE,FALSE,FALSE
43,PHILADELPHIA - It was supposed to be a day dedicated to working better together.,FALSE,FALSE,FALSE,FALSE
5,"The Obama administration has begun discussions with the Senate about whether a bill aimed at forcing China to let its currency rise is ""the right approach"" to the long-running currency issue, a top U.S. official said Tuesday.",TRUE,TRUE,TRUE,TRUE
35,"As with most prominent statesmen, the figure of former Israeli President Shimon Peres has not been exempt from criticism and controversy, especially by those who saw him as one of the main stalwarts of Israel's contentious securit",FALSE,FALSE,FALSE,FALSE
18,"Over the past 18 months, President Dmitry Medvedev has signed two laws meant to rein in Russia's notorious pretrial detention system, an institution often used to extract bribes and enforce widespread corruption.",TRUE,TRUE,TRUE,TRUE
28,"The oil portrait ""Girl from the Sabine Mountains"" shows a peasant woman reclining, closing her eyes and stretching her billowing white sleeves behind her dark hair.",FALSE,FALSE,FALSE,FALSE
4,"EAST CLEVELAND, Ohio (AP) -- A man died after he was shot by police following a vehicle pursuit that ended when the car he was driving caught fire, authorities said.",FALSE,TRUE,TRUE,TRUE
68,It's not clear what exact words David Cameron used in private conversation but many Muslim women have taken to Twitter to tell him that they are not quite the timid creatures he is reported to have portrayed them as.,TRUE,TRUE,TRUE,TRUE
32,"HONG KONG, March 21 (Xinhua) -- Carrie Lam, the chief executive of the Hong Kong Special Administrative Region (HKSAR), said on Saturday that she was confident that Hong Kong will thrive and soar higher with the full support of the central authorities.",TRUE,TRUE,TRUE,TRUE
92,"PESHAWAR: A US drone killed three suspected militants in an attack on a compound in the Kurram Agency on Friday, officials said, in the first strike since President Donald Trump vowed to crack down on the country.",TRUE,TRUE,TRUE,TRUE
82,The UN General Assembly is set to vote on a resolution calling on the US to lift its decades-long trade embargo against Cuba.,TRUE,TRUE,TRUE,TRUE
6,"Pedestrians wearing protective masks walk along the street as a screen displaying a live broadcast of Chinese President Xi Jinping at the National People's Congress in Beijing, China, on Friday, May 22, 2020.",FALSE,FALSE,FALSE,FALSE
55,"City Councilman Miguel A. Pulido lashed out at a political opponent Tuesday, accusing her campaign of hiring a detective to investigate whether he lives in the city and qualifies as a resident.",TRUE,TRUE,TRUE,TRUE
42,Pro-democracy activist Joshua Wong said on Tuesday that he had been disqualified from running in Hong Kong's district council elections.,TRUE,TRUE,TRUE,TRUE
97,Enrollments on federal and state exchanges picked up after slow start in October.,FALSE,FALSE,FALSE,FALSE
100,"ISLAMABAD: The Pakistan Tehreek-e-Insaf Chairman, Imran Khan, on Wednesday ridiculed the former prime minister Nawaz Sharif's call for according him warm welcome upon his return, saying how could a dacoit seek such treatment.",TRUE,TRUE,TRUE,TRUE
39,"Israel has admitted pathologists harvested organs from dead Palestinians, and others, without the consent of their families - a practice it said ended in the 1990s - it emerged at the weekend.",FALSE,TRUE,TRUE,TRUE
62,"The opening of a new synagogue in Mainz at the very site where Nazis destroyed the previous one 70 years ago, is just one sign of Germany's blossoming Jewish community.",TRUE,TRUE,TRUE,TRUE
49,Philippine province says to keep open-pit mining ban Mining & Metals - Specialty Erik dela Cruz,TRUE,TRUE,TRUE,TRUE
37,A prominent Mexican suspected of being a major drug trafficker was flown to Los Angeles from Texas today and was held as a material witness in the 1985 kidnap-murder of U.S. narcotics agent Enrique Camarena Salazar.,TRUE,TRUE,TRUE,TRUE
33,"Angela Merkel kicks off her re-election drive on Tuesday at a congress of her conservative Christian Democrats (CDU), where the chancellor will be feted like a star for defending German interests in the euro zone crisis.",FALSE,FALSE,TRUE,FALSE
63,"(Reuters) - The FBI is offering a reward of up to $50,000 for information on who placed pipe bombs in the committee headquarters of both major U.S. political parties in Washington.",TRUE,TRUE,TRUE,TRUE
69,Egypt activist released in case that raises fears for democracy World News Asma Alsharif,TRUE,TRUE,TRUE,TRUE
