ids,plain_text,No,sentences,anncomplete_1,entities_1,relations_1,1_Relevant_1,Action1-PentaClass_1,Action1_CAMEO_1,Action2-PentaClass_1,Action2_CAMEO_1,Action3-PentaClass_1,Action3_CAMEO_1,anncomplete_2,entities_2,relations_2,1_Relevant_2,Action1-PentaClass_2,Action1_CAMEO_2,Action2-PentaClass_2,Action2_CAMEO_2,Action3-PentaClass_2,Action3_CAMEO_2,anncomplete_3,entities_3,relations_3,1_Relevant_3,Action1-PentaClass_3,Action1_CAMEO_3,Action2-PentaClass_3,Action2_CAMEO_3,Action3-PentaClass_3,Action3_CAMEO_3,anncomplete_4,entities_4,relations_4,1_Relevant_4,Action1-PentaClass_4,Action1_CAMEO_4,Action2-PentaClass_4,Action2_CAMEO_4,anncomplete_5,entities_5,relations_5,1_Relevant_5,Action1-PentaClass_5,Action1_CAMEO_5,Action2-PentaClass_5,Action2_CAMEO_5,Action3-PentaClass_5,Action3_CAMEO_5,Action4-PentaClass_5,Action4_CAMEO_5
aF2ZyB36lk9kT.AUIdISFv9HsFs8-cameo_100.csv_76,"No. 90 sentences In the years following the bitter Civil War, a former Union general took a holiday originated by former Confederates and helped spread it across the entire country.",No. 90 ,"In the years following the bitter Civil War, a former Union general took a holiday originated by former Confederates and helped spread it across the entire country.",True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,False,[],[],,,,,,True,[],[],False,,,,,,,,
asMiPXhmsgneJaSgF47ahH2711.i-cameo_100.csv_75,"No. 39 sentences Israel has admitted pathologists harvested organs from dead Palestinians, and others, without the consent of their families - a practice it said ended in the 1990s - it emerged at the weekend.",No. 39 ,"Israel has admitted pathologists harvested organs from dead Palestinians, and others, without the consent of their families - a practice it said ended in the 1990s - it emerged at the weekend.",True,"[('Source-1', 'Israel', 0), ('Action-1', 'admitted', 11), ('Target-2', 'pathologists', 20), ('Source-2', 'pathologists', 20), ('Action-2', 'harvested organs', 33), ('Target-2', 'dead Palestinians', 55), ('Target-2', 'others', 78), ('Action-2', 'a practice', 126), ('Action-1', 'said', 140), ('Time', 'the weekend', 180)]","[[('Source-1', 'Israel'), ('Action-1', 'admitted')], [('Source-2', 'pathologists'), ('Action-2', 'harvested organs')], [('Action-2', 'harvested organs'), ('Target-2', 'dead Palestinians')], [('Action-2', 'harvested organs'), ('Target-2', 'others')]]",True,0-Make a Statement,0-1 Make Public Statement,4-Material Conflict,4-18 Assualt,,,True,"[('Source-1', 'Israel', 0), ('Action-1', 'admitted', 11), ('Source-2', 'pathologists', 20), ('Action-2', 'harvested organs', 33), ('Target-1', 'dead Palestinians, and others', 55), ('Time', 'the weekend', 180)]","[[('Source-1', 'Israel'), ('Action-1', 'admitted')], [('Action-1', 'admitted'), ('Target-1', 'dead Palestinians, and others')], [('Action-2', 'harvested organs'), ('Source-2', 'pathologists')], [('Action-2', 'harvested organs'), ('Target-1', 'dead Palestinians, and others')]]",True,0-Make a Statement,0-1 Make Public Statement,4-Material Conflict,4-18 Assualt,,,True,"[('Source-1', 'Israel', 0), ('Action-1', 'admitted', 11), ('Source-2', 'pathologists', 20), ('Action-2', 'harvested organs', 33), ('Target-1', 'dead Palestinians, and others', 55), ('Action-2', 'a practice', 126), ('Source-1', 'it', 137), ('Action-1', 'said', 140), ('Time', 'the weekend', 180)]","[[('Source-1', 'Israel'), ('Action-1', 'admitted')], [('Source-1', 'Israel'), ('Action-1', 'said')], [('Source-1', 'it'), ('Action-1', 'admitted')], [('Source-1', 'it'), ('Action-1', 'said')], [('Source-2', 'pathologists'), ('Action-2', 'harvested organs')], [('Action-2', 'harvested organs'), ('Target-1', 'dead Palestinians, and others')]]",True,0-Make a Statement,0-1 Make Public Statement,4-Material Conflict,4-18 Assualt,,,False,[],[],,,,,,True,"[('Source-1', 'Israel', 0), ('Action-1', 'has admitted', 7), ('Source-2', 'pathologists', 20), ('Action-2', 'harvested organs', 33), ('Target-2', 'dead Palestinians', 55), ('Target-2', 'others', 78)]","[[('Source-1', 'Israel'), ('Action-1', 'has admitted')], [('Source-2', 'pathologists'), ('Action-2', 'harvested organs')], [('Action-2', 'harvested organs'), ('Target-2', 'dead Palestinians')], [('Action-2', 'harvested organs'), ('Target-2', 'others')]]",True,0-Make a Statement,0-1 Make Public Statement,4-Material Conflict,4-18 Assualt,,,,
aGnJ23ujegnQYuXYDoiRPPVKLJsO-cameo_100.csv_74,"No. 30 sentences TOWER, Minn. (AP) -- Two former officials in the northern Minnesota city of Tower are charged with criminal misconduct for allegedly trying to oust a newspaper publisher from a city agency.",No. 30 ,"TOWER, Minn. (AP) -- Two former officials in the northern Minnesota city of Tower are charged with criminal misconduct for allegedly trying to oust a newspaper publisher from a city agency.",True,"[('Source-1', 'former officials', 25), ('Location', 'northern Minnesota city of Tower', 49), ('Action-1', 'charged with criminal misconduct', 86), ('Action-2', 'allegedly trying to oust', 123), ('Target-2', 'newspaper publisher', 150)]","[[('Source-1', 'former officials'), ('Action-1', 'charged with criminal misconduct')], [('Source-1', 'former officials'), ('Action-2', 'allegedly trying to oust')]]",True,4-Material Conflict,4-17 Coerce,4-Material Conflict,4-17 Coerce,,,True,"[('Location', 'TOWER, Minn', 0), ('Target-1', 'former officials', 25), ('Location', 'Minnesota city of Tower', 58), ('Action-1', 'charged with criminal misconduct for allegedly trying to oust', 86), ('Target-2', 'newspaper publisher', 150)]",[],True,4-Material Conflict,4-17 Coerce,4-Material Conflict,4-18 Assualt,,,True,"[('Location', 'TOWER, Minn.', 0), ('Target-1', 'former officials', 25), ('Location', 'Minnesota city of Tower', 58), ('Action-1', 'charged with criminal misconduct for allegedly trying to oust a newspaper publisher', 86)]","[[('Action-1', 'charged with criminal misconduct for allegedly trying to oust a newspaper publisher'), ('Target-1', 'former officials')]]",True,4-Material Conflict,4-17 Coerce,4-Material Conflict,4-17 Coerce,,,False,[],[],,,,,,True,"[('Target-1', 'former officials', 25), ('Source-2', 'former officials', 25), ('Location', 'northern Minnesota city of Tower', 49), ('Action-1', 'are charged', 82), ('Action-2', 'trying to oust', 133), ('Target-2', 'newspaper publisher', 150)]","[[('Source-2', 'former officials'), ('Action-2', 'trying to oust')], [('Action-2', 'trying to oust'), ('Target-2', 'newspaper publisher')], [('Action-1', 'are charged'), ('Source-2', 'former officials')]]",True,4-Material Conflict,4-17 Coerce,4-Material Conflict,4-17 Coerce,,,,
acQz5J6k8A7ulUsiRVrlItdXzu88-cameo_100.csv_90,No. 10 sentences A group of San Francisco first-graders took an unusual field trip to City Hall on Friday to toss rose petals on their just-married lesbian teacher - putting the public school children at the center of a fierce election battle over the fate of same-sex marr,No. 10 ,A group of San Francisco first-graders took an unusual field trip to City Hall on Friday to toss rose petals on their just-married lesbian teacher - putting the public school children at the center of a fierce election battle over the fate of same-sex marr,True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,False,[],[],,,,,,True,[],[],False,,,,,,,,
aNquOmrvi_NA65lBr9WmiNmX42VW-cameo_100.csv_87,"No. 12 sentences An Oakland woman was fatally stabbed in front of her children by her estranged boyfriend after Oakland police failed to arrest him when he twice violated a restraining order, a $10 million wrongful-death lawsuit charges.",No. 12 ,"An Oakland woman was fatally stabbed in front of her children by her estranged boyfriend after Oakland police failed to arrest him when he twice violated a restraining order, a $10 million wrongful-death lawsuit charges.",True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,False,[],[],,,,,,True,[],[],False,,,,,,,,
a0_RaFj146Coc2zO4xVwOS4lvqgy-cameo_100.csv_89,"No. 6 sentences Pedestrians wearing protective masks walk along the street as a screen displaying a live broadcast of Chinese President Xi Jinping at the National People's Congress in Beijing, China, on Friday, May 22, 2020.",No. 6 ,"Pedestrians wearing protective masks walk along the street as a screen displaying a live broadcast of Chinese President Xi Jinping at the National People's Congress in Beijing, China, on Friday, May 22, 2020.",True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,False,[],[],,,,,,True,[],[],False,,,,,,,,
aWsy2qUnKzrNRQsiVkEysGEOEche-cameo_100.csv_88,"No. 47 sentences Four men have been charged with murder in connection with the slaying of a man at a marijuana grow-house near Hayward in February, authorities said Friday.",No. 47 ,"Four men have been charged with murder in connection with the slaying of a man at a marijuana grow-house near Hayward in February, authorities said Friday.",True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,False,[],[],,,,,,True,[],[],False,,,,,,,,
aOkY6GWIuIWjzcZkVkp9EFVaUh_m-cameo_100.csv_91,"No. 74 sentences Fethi Belaid, AFP | A member of the Tunisian security forces aims his weapon at protesters during clashes in the outskirts of Tunis late on January 10, 2018.",No. 74 ,"Fethi Belaid, AFP | A member of the Tunisian security forces aims his weapon at protesters during clashes in the outskirts of Tunis late on January 10, 2018.",True,"[('Source-1', 'member of the Tunisian security forces', 22), ('Action-1', 'aims his weapon', 61), ('Target-1', 'protesters', 80), ('Action-1', 'during clashes', 91), ('Location', 'outskirts of Tunis', 113), ('Time', 'January 10, 2018', 140)]","[[('Source-1', 'member of the Tunisian security forces'), ('Action-1', 'aims his weapon')], [('Target-1', 'protesters'), ('Action-1', 'during clashes')]]",True,4-Material Conflict,4-15 Exhibit Force Posture,,,,,True,"[('Source-1', 'member of the Tunisian security forces', 22), ('Action-1', 'aims his weapon', 61), ('Target-1', 'protesters', 80), ('Action-1', 'during clashes', 91), ('Location', 'outskirts of Tunis', 113), ('Time', 'January 10, 2018', 140)]",[],True,4-Material Conflict,4-15 Exhibit Force Posture,,,,,True,"[('Source-1', 'member of the Tunisian security forces', 22), ('Action-1', 'aims his weapon', 61), ('Source-1', 'his', 66), ('Target-1', 'protesters', 80), ('Location', 'Tunis', 126), ('Time', 'January 10, 2018', 140)]","[[('Source-1', 'member of the Tunisian security forces'), ('Action-1', 'aims his weapon')], [('Source-1', 'his'), ('Action-1', 'aims his weapon')], [('Action-1', 'aims his weapon'), ('Target-1', 'protesters')]]",True,4-Material Conflict,4-15 Exhibit Force Posture,,,,,False,[],[],,,,,,True,"[('Source-1', 'member of the Tunisian security forces', 22), ('Action-1', 'aims his weapon', 61), ('Target-1', 'protesters', 80), ('Location', 'outskirts of Tunis', 113), ('Time', 'January 10, 2018', 140)]","[[('Source-1', 'member of the Tunisian security forces'), ('Action-1', 'aims his weapon')], [('Action-1', 'aims his weapon'), ('Target-1', 'protesters')]]",True,3-Verbal Conflict,3-13 Threaten,,,,,,
aHflVynSQtot85rhiOg3KTIiev0a-cameo_100.csv_85,"No. 18 sentences Over the past 18 months, President Dmitry Medvedev has signed two laws meant to rein in Russia's notorious pretrial detention system, an institution often used to extract bribes and enforce widespread corruption.",No. 18 ,"Over the past 18 months, President Dmitry Medvedev has signed two laws meant to rein in Russia's notorious pretrial detention system, an institution often used to extract bribes and enforce widespread corruption.",True,"[('Time', 'past 18 months', 9), ('Source-1', 'President Dmitry Medvedev', 25), ('Action-1', 'signed', 55), ('Target-1', ""Russia's notorious pretrial detention system"", 88)]","[[('Source-1', 'President Dmitry Medvedev'), ('Action-1', 'signed')]]",True,2-Material Cooperation,2-6 Engage in Material Coop,,,,,True,"[('Time', 'past 18 months', 9), ('Source-1', 'President Dmitry Medvedev', 25), ('Action-1', 'signed', 55), ('Location', ""Russia's"", 88), ('Target-1', 'pretrial detention system', 107)]","[[('Source-1', 'President Dmitry Medvedev'), ('Action-1', 'signed')]]",True,2-Material Cooperation,2-6 Engage in Material Coop,,,,,True,"[('Time', 'Over the past 18 months', 0), ('Source-1', 'President Dmitry Medvedev', 25), ('Action-1', 'signed two laws meant to rein in', 55), ('Target-1', ""Russia's notorious pretrial detention system"", 88), ('Location', 'Russia', 88), ('Target-1', 'institution', 137)]","[[('Source-1', 'President Dmitry Medvedev'), ('Action-1', 'signed two laws meant to rein in')], [('Action-1', 'signed two laws meant to rein in'), ('Target-1', ""Russia's notorious pretrial detention system"")], [('Action-1', 'signed two laws meant to rein in'), ('Target-1', 'institution')]]",True,3-Verbal Conflict,3-10 Demand,,,,,False,[],[],,,,,,True,"[('Time', 'Over the past 18 months', 0), ('Source-1', 'President Dmitry Medvedev', 25), ('Action-1', 'has signed', 51), ('Action-2', 'rein in', 80), ('Target-2', ""Russia's notorious pretrial detention system"", 88)]","[[('Source-1', 'President Dmitry Medvedev'), ('Action-1', 'has signed')], [('Action-2', 'rein in'), ('Target-2', ""Russia's notorious pretrial detention system"")], [('Source-1', 'President Dmitry Medvedev'), ('Action-2', 'rein in')]]",True,2-Material Cooperation,2-6 Engage in Material Coop,3-Verbal Conflict,3-10 Demand,,,,
a98fFjoK8Dc3KrSTDuXav6T17YrK-cameo_100.csv_86,"No. 34 sentences Thick black smoke and towering orange flames shot up Friday after two trailers of highly unstable compounds blew up at a flooded Houston-area chemical plant, the second fire there in two days.",No. 34 ,"Thick black smoke and towering orange flames shot up Friday after two trailers of highly unstable compounds blew up at a flooded Houston-area chemical plant, the second fire there in two days.",True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,False,[],[],,,,,,True,[],[],False,,,,,,,,
aM8Jjlnq_PCaQn5vKaclIXPhZL1m-cameo_100.csv_83,"No. 4 sentences EAST CLEVELAND, Ohio (AP) -- A man died after he was shot by police following a vehicle pursuit that ended when the car he was driving caught fire, authorities said.",No. 4 ,"EAST CLEVELAND, Ohio (AP) -- A man died after he was shot by police following a vehicle pursuit that ended when the car he was driving caught fire, authorities said.",True,"[('Target-1', 'man', 31), ('Action-1', 'shot', 53), ('Source-1', 'police', 61), ('Source-2', 'authorities', 148), ('Action-2', 'said', 160)]","[[('Action-1', 'shot'), ('Source-1', 'police')], [('Source-2', 'authorities'), ('Action-2', 'said')]]",True,4-Material Conflict,4-15 Exhibit Force Posture,0-Make a Statement,0-1 Make Public Statement,,,True,"[('Target-1', 'man', 31), ('Action-1', 'died', 35), ('Action-1', 'shot', 53), ('Source-1', 'police', 61), ('Source-2', 'authorities', 148), ('Action-2', 'said', 160)]","[[('Action-1', 'died'), ('Source-1', 'police')], [('Target-1', 'man'), ('Action-1', 'died')], [('Action-1', 'shot'), ('Target-1', 'man')], [('Source-2', 'authorities'), ('Action-2', 'said')]]",True,4-Material Conflict,4-15 Exhibit Force Posture,0-Make a Statement,0-1 Make Public Statement,,,True,"[('Location', 'EAST CLEVELAND, Ohio', 0), ('Target-1', 'A man', 29), ('Action-1', 'died', 35), ('Target-1', 'he', 46), ('Action-1', 'shot', 53), ('Source-1', 'police', 61), ('Target-1', 'he', 120), ('Source-2', 'authorities', 148), ('Action-2', 'said', 160)]","[[('Source-1', 'police'), ('Action-1', 'shot')], [('Action-1', 'died'), ('Target-1', 'A man')], [('Action-1', 'died'), ('Target-1', 'he')], [('Action-1', 'died'), ('Target-1', 'he')], [('Action-1', 'shot'), ('Target-1', 'A man')], [('Action-1', 'shot'), ('Target-1', 'he')], [('Action-1', 'shot'), ('Target-1', 'he')]]",True,4-Material Conflict,4-18 Assualt,0-Make a Statement,0-1 Make Public Statement,,,False,[],[],,,,,,True,"[('Location', 'EAST CLEVELAND, Ohio', 0), ('Target-1', 'man', 31), ('Action-1', 'was shot', 49), ('Source-1', 'police', 61), ('Source-2', 'authorities', 148), ('Action-2', 'said', 160)]","[[('Source-1', 'police'), ('Action-1', 'was shot')], [('Action-1', 'was shot'), ('Target-1', 'man')], [('Source-2', 'authorities'), ('Action-2', 'said')]]",True,4-Material Conflict,4-18 Assualt,0-Make a Statement,0-1 Make Public Statement,,,,
aV.lR6Lh_em_nTM_DW2I8czut9_W-cameo_100.csv_82,"No. 7 sentences Despite the numerous obstacles and the fallout from occasional agency missteps, there are ways to move forward and make progress, according to a recent report that surveyed 62 federal chief human capital officers (CHCOs) and human resources (HR) leaders re",No. 7 ,"Despite the numerous obstacles and the fallout from occasional agency missteps, there are ways to move forward and make progress, according to a recent report that surveyed 62 federal chief human capital officers (CHCOs) and human resources (HR) leaders re",True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,False,[],[],,,,,,True,[],[],False,,,,,,,,
aPUBsEbt7ZQcRjd0H8k2KvHKGYZa-cameo_100.csv_80,No. 44 sentences A stowaway who sneaked aboard a Japan-bound jet from Kennedy Airport apparently froze to death inside his hiding spot in the plane's landing-gear compartment.,No. 44 ,A stowaway who sneaked aboard a Japan-bound jet from Kennedy Airport apparently froze to death inside his hiding spot in the plane's landing-gear compartment.,True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,False,[],[],,,,,,True,[],[],False,,,,,,,,
atk2vatPn7xiXS_ai0GY7OqHdjPm-cameo_100.csv_81,No. 42 sentences Pro-democracy activist Joshua Wong said on Tuesday that he had been disqualified from running in Hong Kong's district council elections.,No. 42 ,Pro-democracy activist Joshua Wong said on Tuesday that he had been disqualified from running in Hong Kong's district council elections.,True,"[('Source-1', 'Pro-democracy activist Joshua Wong', 0), ('Action-1', 'said', 35), ('Time', 'Tuesday', 43), ('Action-2', 'disqualified from running', 68), ('Target-1', ""Hong Kong's district council elections"", 97)]","[[('Source-1', 'Pro-democracy activist Joshua Wong'), ('Action-1', 'said')]]",True,0-Make a Statement,0-1 Make Public Statement,1-Verbal Cooperation,3-12 Reject,,,True,"[('Source-1', 'Pro-democracy activist', 0), ('Action-1', 'said', 35), ('Time', 'Tuesday', 43), ('Action-2', 'disqualified', 68), ('Source-2', ""Hong Kong's district council elections"", 97)]","[[('Source-1', 'Pro-democracy activist'), ('Action-1', 'said')], [('Action-2', 'disqualified'), ('Source-2', ""Hong Kong's district council elections"")]]",True,0-Make a Statement,0-1 Make Public Statement,3-Verbal Conflict,3-12 Reject,,,True,"[('Source-1', 'Pro-democracy activist Joshua Wong', 0), ('Action-1', 'said', 35), ('Time', 'Tuesday', 43), ('Source-1', 'he', 56), ('Action-2', ""disqualified from running in Hong Kong's district council elections"", 68)]","[[('Source-1', 'Pro-democracy activist Joshua Wong'), ('Action-1', 'said')], [('Source-1', 'he'), ('Action-1', 'said')], [('Source-1', 'Pro-democracy activist Joshua Wong'), ('Action-2', ""disqualified from running in Hong Kong's district council elections"")], [('Source-1', 'he'), ('Action-2', ""disqualified from running in Hong Kong's district council elections"")]]",True,0-Make a Statement,0-1 Make Public Statement,4-Material Conflict,4-17 Coerce,,,False,[],[],,,,,,True,"[('Source-1', 'Pro-democracy activist Joshua Wong', 0), ('Target-2', 'Pro-democracy activist Joshua Wong', 0), ('Action-1', 'said', 35), ('Time', 'Tuesday', 43), ('Action-2', 'had been disqualified', 59)]","[[('Source-1', 'Pro-democracy activist Joshua Wong'), ('Action-1', 'said')], [('Action-2', 'had been disqualified'), ('Source-1', 'Pro-democracy activist Joshua Wong')]]",True,0-Make a Statement,0-1 Make Public Statement,4-Material Conflict,4-17 Coerce,,,,
aW9c84qBNewTcl_CC7vWCHwQhaqO-cameo_100.csv_84,No. 31 sentences More Than A Dozen GOP State Lawmakers Attended Rally That Gave Way To Riots,No. 31 ,More Than A Dozen GOP State Lawmakers Attended Rally That Gave Way To Riots,True,"[('Source-1', 'GOP State Lawmakers', 18), ('Action-1', 'Attended Rally', 38), ('Action-1', 'That Gave Way To Riots', 53)]","[[('Source-1', 'GOP State Lawmakers'), ('Action-1', 'Attended Rally')]]",True,4-Material Conflict,4-14 Protest,,,,,True,"[('Source-1', 'GOP State Lawmakers', 18), ('Action-1', 'Attended', 38)]",[],True,4-Material Conflict,4-14 Protest,,,,,True,"[('Source-1', 'GOP State Lawmakers', 18), ('Action-1', 'Attended Rally', 38)]","[[('Source-1', 'GOP State Lawmakers'), ('Action-1', 'Attended Rally')]]",True,4-Material Conflict,4-14 Protest,,,,,False,[],[],,,,,,True,"[('Source-1', 'GOP State Lawmakers', 18), ('Action-1', 'Attended Rally', 38)]","[[('Source-1', 'GOP State Lawmakers'), ('Action-1', 'Attended Rally')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,,
aJANRuQGiQH878s.97zKt_G6Q5A0-cameo_100.csv_77,"No. 41 sentences Mahmud Hams, a photographer for Agence France-Press, was in the building that housed the news service's Gaza City office when it was struck.",No. 41 ,"Mahmud Hams, a photographer for Agence France-Press, was in the building that housed the news service's Gaza City office when it was struck.",True,[],[],False,,,,,,,True,"[('Target-1', 'a photographer for Agence France-Press', 13), ('Target-1', ""building that housed the news service's"", 64), ('Location', 'Gaza City', 104), ('Action-1', 'struck', 133)]",[],True,4-Material Conflict,4-18 Assualt,,,,,True,"[('Target-1', 'Mahmud Hams, a photographer for Agence France-Press', 0), ('Target-1', ""building that housed the news service's Gaza City office"", 64), ('Location', 'Gaza City', 104), ('Action-1', 'struck', 133)]","[[('Action-1', 'struck'), ('Target-1', ""building that housed the news service's Gaza City office"")]]",True,4-Material Conflict,4-18 Assualt,,,,,False,[],[],,,,,,True,"[('Target-1', 'building', 64), ('Location', 'Gaza City', 104), ('Action-1', 'was struck', 129)]","[[('Action-1', 'was struck'), ('Target-1', 'building')]]",True,4-Material Conflict,4-18 Assualt,,,,,,
a.l12BfnGzJkVA0JWd4aLABWtZpW-cameo_100.csv_79,No. 56 sentences Black Psychologist Gives Take On Meadows' Defense Against Charges Trump Is 'Racist',No. 56 ,Black Psychologist Gives Take On Meadows' Defense Against Charges Trump Is 'Racist',True,"[('Source-1', 'Meadows', 33), ('Action-1', 'Charges', 58), ('Target-1', 'Trump', 66)]","[[('Source-1', 'Meadows'), ('Action-1', 'Charges')], [('Target-1', 'Trump'), ('Action-1', 'Charges')]]",True,3-Verbal Conflict,3-12 Reject,,,,,True,"[('Source-1', 'Meadows', 33), ('Action-1', 'Defense Against Charges', 42), ('Target-1', 'Trump', 66)]","[[('Source-1', 'Meadows'), ('Action-1', 'Defense Against Charges')], [('Action-1', 'Defense Against Charges'), ('Target-1', 'Trump')]]",True,3-Verbal Conflict,3-11 Disapprove,,,,,True,"[('Action-1', 'Charges', 58), ('Target-1', 'Trump', 66), ('Action-1', 'Racist', 76)]","[[('Action-1', 'Charges'), ('Target-1', 'Trump')], [('Action-1', 'Racist'), ('Target-1', 'Trump')]]",True,3-Verbal Conflict,3-11 Disapprove,,,,,False,[],[],,,,,,True,"[('Source-1', 'Meadows', 33), ('Action-1', 'Defense', 42), ('Target-1', 'Trump', 66)]","[[('Source-1', 'Meadows'), ('Action-1', 'Defense')], [('Action-1', 'Defense'), ('Target-1', 'Trump')]]",True,1-Verbal Cooperation,1-5 Engage in Dip Coop,,,,,,
aVuZScTNI9aWp_AjUadNZzuPESWi-cameo_100.csv_73,No. 73 sentences A TROUBLED Catholic priest who was accused of molesting a boy in The Bronx several years ago was arrested by state police on charges of aggravated harassment and stalking of an upstate New York man and his family.,No. 73 ,A TROUBLED Catholic priest who was accused of molesting a boy in The Bronx several years ago was arrested by state police on charges of aggravated harassment and stalking of an upstate New York man and his family.,True,"[('Target-1', 'Catholic priest', 11), ('Location', 'The Bronx', 65), ('Time', 'several years ago', 75), ('Action-1', 'arrested', 97), ('Source-1', 'state police', 109), ('Source-1', 'charges of aggravated harassment and stalking of an upstate New York man and his family', 125)]","[[('Source-1', 'state police'), ('Action-1', 'arrested')], [('Target-1', 'Catholic priest'), ('Action-1', 'arrested')]]",True,4-Material Conflict,4-17 Coerce,,,,,True,"[('Target-1', 'Catholic priest', 11), ('Location', 'The Bronx', 65), ('Time', 'several years ago', 75), ('Action-1', 'arrested', 97), ('Source-1', 'state police', 109), ('Action-1', 'aggravated harassment and stalking', 136)]","[[('Action-1', 'arrested'), ('Source-1', 'state police')], [('Target-1', 'Catholic priest'), ('Action-1', 'arrested')], [('Action-1', 'aggravated harassment and stalking'), ('Target-1', 'Catholic priest')]]",True,4-Material Conflict,4-17 Coerce,,,,,True,[],[],False,,,,,,,False,[],[],,,,,,True,"[('Target-1', 'Catholic priest', 11), ('Source-2', 'Catholic priest', 11), ('Action-2', 'molesting', 46), ('Target-2', 'boy', 58), ('Location', 'The Bronx', 65), ('Action-1', 'was arrested', 93), ('Source-1', 'state police', 109), ('Action-2', 'harassment', 147), ('Action-2', 'stalking', 162), ('Target-2', 'man', 194), ('Target-2', 'family', 206)]","[[('Source-1', 'state police'), ('Action-1', 'was arrested')], [('Source-2', 'Catholic priest'), ('Action-2', 'harassment')], [('Source-2', 'Catholic priest'), ('Action-2', 'stalking')], [('Source-2', 'Catholic priest'), ('Action-2', 'molesting')], [('Action-2', 'molesting'), ('Target-2', 'boy')], [('Action-2', 'harassment'), ('Target-2', 'man')], [('Action-2', 'harassment'), ('Target-2', 'family')], [('Action-2', 'stalking'), ('Target-2', 'man')], [('Action-2', 'stalking'), ('Target-2', 'family')], [('Action-1', 'was arrested'), ('Source-2', 'Catholic priest')]]",True,4-Material Conflict,4-17 Coerce,4-Material Conflict,4-18 Assualt,,,,
aW_qGP.4J2VXUCk8l7fx6aDjPaKW-cameo_100.csv_71,"No. 45 sentences Venezuela's ruling Socialist Party swept the country's Dec. 10 municipal elections, winning 300 of 339 races for mayor, including in 39 of the country's 40 biggest cities.",No. 45 ,"Venezuela's ruling Socialist Party swept the country's Dec. 10 municipal elections, winning 300 of 339 races for mayor, including in 39 of the country's 40 biggest cities.",True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,False,[],[],,,,,,True,"[('Source-1', ""Venezuela's ruling Socialist Party"", 0), ('Action-1', 'swept', 35), ('Time', 'Dec. 10', 55), ('Action-1', 'winning', 84)]","[[('Source-1', ""Venezuela's ruling Socialist Party""), ('Action-1', 'swept')], [('Source-1', ""Venezuela's ruling Socialist Party""), ('Action-1', 'winning')]]",True,2-Material Cooperation,2-6 Engage in Material Coop,,,,,,
a.njvboEDYrhLWEp3jz04oNTCHha-cameo_100.csv_70,"No. 76 sentences He added that so far, he had not seen an official note sent to the Russian Foreign Ministry by the US in this regard.",No. 76 ,"He added that so far, he had not seen an official note sent to the Russian Foreign Ministry by the US in this regard.",True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,"[('Action-1', 'had not seen', 25), ('Target-1', 'official note sent to the Russian Foreign Ministry by the US', 41)]","[[('Action-1', 'had not seen'), ('Target-1', 'official note sent to the Russian Foreign Ministry by the US')]]",True,3-Verbal Conflict,3-16 Reduce Relations,,,,,False,[],[],,,,,,True,[],[],False,,,,,,,,
arZWFTBV7CHMlTskISJsjyNvbvgW-cameo_100.csv_72,"No. 62 sentences The opening of a new synagogue in Mainz at the very site where Nazis destroyed the previous one 70 years ago, is just one sign of Germany's blossoming Jewish community.",No. 62 ,"The opening of a new synagogue in Mainz at the very site where Nazis destroyed the previous one 70 years ago, is just one sign of Germany's blossoming Jewish community.",True,"[('Action-1', 'opening of a new synagogue', 4), ('Target-1', 'Mainz', 34), ('Location', 'Germany', 130)]","[[('Action-1', 'opening of a new synagogue'), ('Target-1', 'Mainz')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,True,"[('Action-1', 'opening of a new synagogue', 4), ('Target-1', 'Mainz', 34), ('Location', ""Germany's"", 130)]","[[('Action-1', 'opening of a new synagogue'), ('Target-1', 'Mainz')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,True,"[('Action-1', 'opening of a new synagogue', 4), ('Location', 'Mainz', 34), ('Target-1', 'Mainz', 34), ('Location', 'Germany', 130), ('Target-1', 'Germany', 130)]","[[('Action-1', 'opening of a new synagogue'), ('Target-1', 'Mainz')], [('Action-1', 'opening of a new synagogue'), ('Target-1', 'Germany')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,False,[],[],,,,,,True,"[('Action-1', 'opening', 4), ('Target-1', 'new synagogue', 17), ('Location', 'Mainz', 34)]","[[('Action-1', 'opening'), ('Target-1', 'new synagogue')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,,
