ids,plain_text,No,sentences,anncomplete_1,entities_1,relations_1,1_Relevant_1,Action1-PentaClass_1,Action1_CAMEO_1,Action2-PentaClass_1,Action2_CAMEO_1,Action3-PentaClass_1,Action3_CAMEO_1,anncomplete_2,entities_2,relations_2,anncomplete_3,entities_3,relations_3,1_Relevant_3,Action1-PentaClass_3,Action1_CAMEO_3,Action2-PentaClass_3,Action2_CAMEO_3,Action3_CAMEO_3,Action3-PentaClass_3,anncomplete_4,entities_4,relations_4,1_Relevant_4,Action1-PentaClass_4,Action1_CAMEO_4,Action2-PentaClass_4,Action2_CAMEO_4,Action3-PentaClass_4,Action3_CAMEO_4,anncomplete_5,entities_5,relations_5,1_Relevant_5,Action1-PentaClass_5,Action1_CAMEO_5,Action2-PentaClass_5,Action2_CAMEO_5,Action3-PentaClass_5,Action3_CAMEO_5,Action4-PentaClass_5,Action4_CAMEO_5
aW_qGP.4J2VXUCk8l7fx6aDjPaKW-cameo_100.csv_98,"No. 45 sentences Venezuela's ruling Socialist Party swept the country's Dec. 10 municipal elections, winning 300 of 339 races for mayor, including in 39 of the country's 40 biggest cities.",No. 45 ,"Venezuela's ruling Socialist Party swept the country's Dec. 10 municipal elections, winning 300 of 339 races for mayor, including in 39 of the country's 40 biggest cities.",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,"[('Source-1', ""Venezuela's ruling Socialist Party"", 0), ('Action-1', 'swept the country', 35), ('Time', 'Dec. 10', 55), ('Action-1', 'winning', 84)]",[],True,2-Material Cooperation,2-6 Engage in Material Coop,,,,,,
avJ.VYEQxqLIdZoiHOAr7Zhdi6pu-cameo_100.csv_91,"No. 98 sentences Britain's left-wing Labour leader, Jeremy Corbyn, was dismissed by many as a political no-hoper but with the General Election on course for political deadlock he could conceivably become the U.K.'s next prime minister.",No. 98 ,"Britain's left-wing Labour leader, Jeremy Corbyn, was dismissed by many as a political no-hoper but with the General Election on course for political deadlock he could conceivably become the U.K.'s next prime minister.",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,,
aTsyCEpGsRTfCpcrA8ZI0ODsp0mG-cameo_100.csv_92,"No. 83 sentences ""A competent professional, an experienced and responsible executive, you are doing your best to consolidate the team around the most important and essential goals and set the bar high in your work,"" Putin said in a congratulatory telegram to Mikhailov.",No. 83 ,"""A competent professional, an experienced and responsible executive, you are doing your best to consolidate the team around the most important and essential goals and set the bar high in your work,"" Putin said in a congratulatory telegram to Mikhailov.",True,"[('Source-1', 'Putin', 199), ('Action-1', 'said', 205), ('Target-1', 'Mikhailov', 242)]","[[('Source-1', 'Putin'), ('Action-1', 'said')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,False,[],[],True,"[('Source-1', 'Putin', 199), ('Action-1', 'said in a congratulatory telegram', 205), ('Target-1', 'Mikhailov', 242)]","[[('Source-1', 'Putin'), ('Action-1', 'said in a congratulatory telegram')], [('Action-1', 'said in a congratulatory telegram'), ('Target-1', 'Mikhailov')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,True,"[('Source-1', 'Putin', 199), ('Action-1', 'said', 205), ('Target-1', 'Mikhailov', 242)]","[[('Source-1', 'Putin'), ('Action-1', 'said')], [('Action-1', 'said'), ('Target-1', 'Mikhailov')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,True,"[('Source-1', 'Putin', 199), ('Action-1', 'said', 205), ('Target-1', 'Mikhailov', 242)]","[[('Source-1', 'Putin'), ('Action-1', 'said')], [('Action-1', 'said'), ('Target-1', 'Mikhailov')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,,
a98fFjoK8Dc3KrSTDuXav6T17YrK-cameo_100.csv_88,"No. 34 sentences Thick black smoke and towering orange flames shot up Friday after two trailers of highly unstable compounds blew up at a flooded Houston-area chemical plant, the second fire there in two days.",No. 34 ,"Thick black smoke and towering orange flames shot up Friday after two trailers of highly unstable compounds blew up at a flooded Houston-area chemical plant, the second fire there in two days.",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,,
acoRvxr92FPz.ZtxkzmkmFckHNxm-cameo_100.csv_94,"No. 64 sentences President Donald Trump talks with House Speaker Paul Ryan (R-WI) as he promotes a newly unveiled Republican tax plan with House Republican leaders in the Cabinet Room of the White House in Washington, November 2, 2017.",No. 64 ,"President Donald Trump talks with House Speaker Paul Ryan (R-WI) as he promotes a newly unveiled Republican tax plan with House Republican leaders in the Cabinet Room of the White House in Washington, November 2, 2017.",True,"[('Source-1', 'President Donald Trump', 0), ('Action-1', 'talks', 23), ('Target-1', 'House Speaker Paul Ryan', 34), ('Action-2', 'promotes a newly unveiled Republican tax plan', 71), ('Target-2', 'House Republican leaders', 122), ('Location', 'Washington', 189), ('Time', 'November 2, 2017', 201)]","[[('Source-1', 'President Donald Trump'), ('Action-1', 'talks')], [('Target-1', 'House Speaker Paul Ryan'), ('Action-1', 'talks')], [('Source-1', 'President Donald Trump'), ('Action-2', 'promotes a newly unveiled Republican tax plan')]]",True,1-Verbal Cooperation,1-4 Consult,1-Verbal Cooperation,1-3 Express Intent to Coop,,,False,[],[],True,"[('Source-1', 'President Donald Trump', 0), ('Action-1', 'talks with', 23), ('Target-1', 'House Speaker Paul Ryan', 34), ('Action-2', 'promotes a newly unveiled Republican tax plan', 71), ('Target-2', 'House Republican leaders', 122), ('Location', 'Washington', 189), ('Time', 'November 2, 2017', 201)]","[[('Source-1', 'President Donald Trump'), ('Action-1', 'talks with')], [('Action-1', 'talks with'), ('Target-1', 'House Speaker Paul Ryan')], [('Action-2', 'promotes a newly unveiled Republican tax plan'), ('Target-2', 'House Republican leaders')], [('Source-1', 'President Donald Trump'), ('Action-2', 'promotes a newly unveiled Republican tax plan')]]",True,1-Verbal Cooperation,1-3 Express Intent to Coop,1-Verbal Cooperation,1-3 Express Intent to Coop,,,True,"[('Source-1', 'President Donald Trump', 0), ('Action-1', 'promotes', 71), ('Target-1', 'newly unveiled Republican tax plan', 82), ('Location', 'White House in Washington', 174), ('Time', 'November 2, 2017', 201)]","[[('Source-1', 'President Donald Trump'), ('Action-1', 'promotes')], [('Action-1', 'promotes'), ('Target-1', 'newly unveiled Republican tax plan')]]",True,1-Verbal Cooperation,0-1 Make Public Statement,,,,,True,"[('Source-1', 'President Donald Trump', 0), ('Action-1', 'talks with', 23), ('Target-1', 'House Speaker Paul Ryan', 34), ('Action-2', 'promotes a newly unveiled Republican tax plan with', 71), ('Target-2', 'House Republican leaders', 122), ('Location', 'Cabinet Room of the White House in Washington', 154), ('Time', 'November 2, 2017', 201)]","[[('Source-1', 'President Donald Trump'), ('Action-1', 'talks with')], [('Action-1', 'talks with'), ('Target-1', 'House Speaker Paul Ryan')], [('Action-2', 'promotes a newly unveiled Republican tax plan with'), ('Target-2', 'House Republican leaders')], [('Source-1', 'President Donald Trump'), ('Action-2', 'promotes a newly unveiled Republican tax plan with')]]",True,1-Verbal Cooperation,1-4 Consult,1-Verbal Cooperation,0-2 Appeal,,,,
aOkY6GWIuIWjzcZkVkp9EFVaUh_m-cameo_100.csv_93,"No. 74 sentences Fethi Belaid, AFP | A member of the Tunisian security forces aims his weapon at protesters during clashes in the outskirts of Tunis late on January 10, 2018.",No. 74 ,"Fethi Belaid, AFP | A member of the Tunisian security forces aims his weapon at protesters during clashes in the outskirts of Tunis late on January 10, 2018.",True,"[('Source-1', 'member of the Tunisian security forces', 22), ('Action-1', 'aims his weapon', 61), ('Target-1', 'protesters', 80), ('Action-1', 'during clashes', 91), ('Location', 'outskirts of Tunis', 113), ('Time', 'January 10, 2018', 140)]","[[('Source-1', 'member of the Tunisian security forces'), ('Action-1', 'aims his weapon')], [('Action-1', 'during clashes'), ('Source-1', 'member of the Tunisian security forces')], [('Action-1', 'aims his weapon'), ('Target-1', 'protesters')], [('Action-1', 'during clashes'), ('Target-1', 'protesters')]]",True,4-Material Conflict,4-15 Exhibit Force Posture,,,,,False,[],[],True,"[('Source-1', 'member of the Tunisian security forces', 22), ('Action-1', 'aims his weapon', 61), ('Target-1', 'protesters', 80), ('Location', 'Tunis', 126), ('Time', 'January 10, 2018', 140)]","[[('Source-1', 'member of the Tunisian security forces'), ('Action-1', 'aims his weapon')], [('Action-1', 'aims his weapon'), ('Target-1', 'protesters')]]",True,4-Material Conflict,4-15 Exhibit Force Posture,,,,,True,"[('Source-1', 'A member of the Tunisian security forces', 20), ('Action-1', 'aims his weapon', 61), ('Target-1', 'protesters', 80), ('Location', 'outskirts of Tunis', 113), ('Time', 'January 10, 2018', 140)]","[[('Source-1', 'A member of the Tunisian security forces'), ('Action-1', 'aims his weapon')], [('Action-1', 'aims his weapon'), ('Target-1', 'protesters')]]",True,4-Material Conflict,4-15 Exhibit Force Posture,,,,,True,"[('Source-1', 'member of the Tunisian security forces', 22), ('Action-1', 'aims his weapon', 61), ('Target-1', 'protesters', 80), ('Location', 'outskirts of Tunis', 113), ('Time', 'January 10, 2018', 140)]","[[('Source-1', 'member of the Tunisian security forces'), ('Action-1', 'aims his weapon')], [('Action-1', 'aims his weapon'), ('Target-1', 'protesters')]]",True,3-Verbal Conflict,3-13 Threaten,,,,,,
avGardplC8_A3yarO9pu6LgwK2oS-cameo_100.csv_89,No. 96 sentences A huge defunct German satellite is expected to plunge to Earth this weekend and the Federal Aviation Administration wants pilots to be on the lookout for any space debris from the falling spacecraft.,No. 96 ,A huge defunct German satellite is expected to plunge to Earth this weekend and the Federal Aviation Administration wants pilots to be on the lookout for any space debris from the falling spacecraft.,True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,,
aZiKEav2PCt08zoI.VKp71MJmAhm-cameo_100.csv_87,No. 65 sentences A corruption scandal has shaken Venezuela's financial system and triggered the arrest of tycoons who are linked to President Hugo Chavez's government.,No. 65 ,A corruption scandal has shaken Venezuela's financial system and triggered the arrest of tycoons who are linked to President Hugo Chavez's government.,True,"[('Source-1', 'corruption scandal', 2), ('Action-1', 'shaken', 25), ('Location', 'Venezuel', 32), ('Target-1', ""Venezuela's financial system"", 32), ('Action-2', 'triggered the arrest of tycoons', 65), ('Target-2', ""tycoons who are linked to President Hugo Chavez's government"", 89)]",[],True,3-Verbal Conflict,3-13 Threaten,4-Material Conflict,4-15 Exhibit Force Posture,,,False,[],[],True,"[('Source-1', 'corruption scandal', 2), ('Location', 'Venezuela', 32), ('Action-1', 'triggered the arrest', 65), ('Target-1', ""tycoons who are linked to President Hugo Chavez's government"", 89)]","[[('Source-1', 'corruption scandal'), ('Action-1', 'triggered the arrest')], [('Action-1', 'triggered the arrest'), ('Target-1', ""tycoons who are linked to President Hugo Chavez's government"")]]",True,4-Material Conflict,4-17 Coerce,,,,,True,"[('Source-1', 'corruption scandal', 2), ('Source-2', 'corruption scandal', 2), ('Action-1', 'shaken', 25), ('Target-1', ""Venezuela's financial system"", 32), ('Action-2', 'triggered the arrest', 65), ('Target-2', ""tycoons who are linked to President Hugo Chavez's government."", 89)]","[[('Source-1', 'corruption scandal'), ('Action-1', 'shaken')], [('Action-1', 'shaken'), ('Target-1', ""Venezuela's financial system"")], [('Action-2', 'triggered the arrest'), ('Target-2', ""tycoons who are linked to President Hugo Chavez's government."")], [('Source-1', 'corruption scandal'), ('Action-2', 'triggered the arrest')]]",True,4-Material Conflict,4-15 Exhibit Force Posture,4-Material Conflict,4-17 Coerce,,,True,"[('Action-1', 'arrest', 79), ('Target-1', ""tycoons who are linked to President Hugo Chavez's government"", 89)]","[[('Action-1', 'arrest'), ('Target-1', ""tycoons who are linked to President Hugo Chavez's government"")]]",True,4-Material Conflict,4-17 Coerce,,,,,,
aXvkwxUDcSiGHvQcQKiRs6CYXuIy-cameo_100.csv_90,"No. 72 sentences In recent months, the UK has been gripped by cases of widespread organised child abuse - in Rotherham, Oxford, Rochdale and even Westminster.",No. 72 ,"In recent months, the UK has been gripped by cases of widespread organised child abuse - in Rotherham, Oxford, Rochdale and even Westminster.",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,,
a1orQqVNHb0DNZOiDq0KC4F079Cq-cameo_100.csv_86,No. 54 sentences Greeks went to the polls on Sunday in the first general election since the start of the country's debt crisis.,No. 54 ,Greeks went to the polls on Sunday in the first general election since the start of the country's debt crisis.,True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,"[('Source-1', 'Greeks', 0), ('Action-1', 'went to the polls', 7), ('Time', 'Sunday', 28)]","[[('Source-1', 'Greeks'), ('Action-1', 'went to the polls')]]",True,2-Material Cooperation,2-6 Engage in Material Coop,,,,,,
aNquOmrvi_NA65lBr9WmiNmX42VW-cameo_100.csv_82,"No. 12 sentences An Oakland woman was fatally stabbed in front of her children by her estranged boyfriend after Oakland police failed to arrest him when he twice violated a restraining order, a $10 million wrongful-death lawsuit charges.",No. 12 ,"An Oakland woman was fatally stabbed in front of her children by her estranged boyfriend after Oakland police failed to arrest him when he twice violated a restraining order, a $10 million wrongful-death lawsuit charges.",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,,
a7usUn7d0HBKGOvFb1nKW7xBSI2K-cameo_100.csv_83,"No. 50 sentences Hoshyar Zebari, former Iraqi foreign minister, speaks during a press conference in Irbil, the capital of the semi-autonomous Kurdish region of northern Iraq on Aug. 8.",No. 50 ,"Hoshyar Zebari, former Iraqi foreign minister, speaks during a press conference in Irbil, the capital of the semi-autonomous Kurdish region of northern Iraq on Aug. 8.",True,"[('Source-1', 'Hoshyar Zebari, former Iraqi foreign minister', 0), ('Action-1', 'speaks', 47), ('Target-1', 'press conference', 63), ('Location', 'Irbil', 83), ('Time', 'Aug. 8', 160)]",[],True,0-Make a Statement,0-1 Make Public Statement,,,,,False,[],[],True,"[('Source-1', 'Hoshyar Zebari, former Iraqi foreign minister', 0), ('Action-1', 'speaks during a press conference', 47), ('Location', 'Irbil', 83), ('Time', 'Aug. 8', 160)]","[[('Source-1', 'Hoshyar Zebari, former Iraqi foreign minister'), ('Action-1', 'speaks during a press conference')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,True,"[('Source-1', 'Hoshyar Zebari, former Iraqi foreign minister', 0), ('Action-1', 'speaks during a press conference', 47), ('Location', 'Irbil, the capital of the semi-autonomous Kurdish region of northern Iraq', 83), ('Time', 'Aug. 8', 160)]","[[('Source-1', 'Hoshyar Zebari, former Iraqi foreign minister'), ('Action-1', 'speaks during a press conference')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,True,"[('Source-1', 'Hoshyar Zebari, former Iraqi foreign minister', 0), ('Action-1', 'speaks', 47), ('Location', 'Irbil, the capital of the semi-autonomous Kurdish region of northern Iraq', 83), ('Time', 'Aug. 8', 160)]","[[('Source-1', 'Hoshyar Zebari, former Iraqi foreign minister'), ('Action-1', 'speaks')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,,
